id_municipio,nome_municipio,capital,regiao_metropolitana,sigla_uf,nome_uf,domicilios,populacao,area,taxa_alfabetizacao,idade_mediana,razao_sexo,indice_envelhecimento,populacao_indigena,populacao_indigena_terra_indigena,populacao_quilombola,populacao_quilombola_territorio_quilombola
1501451,Belterra,0,Região Metropolitana de Santarém,PA,Pará,5350,18042,4398,91.142,28,102.56,33.53,1788,413,0,0
1504208,Marabá,0,,PA,Pará,86027,265617,15128,92.201,28,99.26,22.53,527,0,0,0
1505700,Ponta de Pedras,0,,PA,Pará,7084,24945,3364,87.944,28,105.77,26.29,131,0,1702,0
1506807,Santarém,0,Região Metropolitana de Santarém,PA,Pará,95606,330460,17898,95.388,28,96.58,28.61,16733,0,4357,2127
1503077,Garrafão do Norte,0,,PA,Pará,7710,24692,1608,78.132,28,105.7,26.92,9,0,623,399
1503705,Itupiranga,0,,PA,Pará,13778,49637,7880,84.775,28,109.88,25.56,449,306,0,0
1501303,Barcarena,0,,PA,Pará,37980,126452,1310,93.847,28,100.22,22.27,291,0,5425,0
1505031,Novo Progresso,0,,PA,Pará,10452,33474,38162,93.592,28,108.27,17.71,69,0,0,0
1505650,Placas,0,,PA,Pará,5877,18637,7173,87.934,28,111.82,23.89,22,1,0,0
1503309,Igarapé-Miri,0,,PA,Pará,16925,64706,1997,84.587,28,105.44,25.04,23,0,559,0
1505536,Parauapebas,0,,PA,Pará,87667,267248,6886,94.555,28,100.01,12.89,1974,1557,0,0
1506708,Santana do Araguaia,0,,PA,Pará,10540,32281,11591,89.516,28,105.93,24.62,145,0,0,0
2509057,Marcação,0,Região Metropolitana do Vale do Mamanguape,PB,Paraíba,2762,8999,123,76.662,28,101.55,28.13,7926,7926,0,0
2615607,Trindade,0,,PE,Pernambuco,9899,30288,296,81.764,28,95.85,31.29,38,0,0,0
2607307,Ipubi,0,,PE,Pernambuco,9330,28996,694,78.762,28,98.18,32.22,36,0,33,0
2209203,Santa Filomena,0,,PI,Piauí,1831,6063,5294,82.184,28,105.92,32.21,45,0,0,0
